index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,54.51,54.52,54.51,54.52,2092943.0,26.0,54.52,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,55.14,55.14,55.14,55.14,1312281.0,15.0,55.14,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,55.21,55.21,55.21,55.21,1535779.0,21.0,55.21,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,55.58,55.58,55.51,55.51,1708400.0,22.0,55.58,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,55.44,55.47,55.41,55.47,864255.0,24.0,55.42,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,54.58,54.58,54.58,54.58,1254343.0,29.0,54.58,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,54.57,54.57,54.57,54.57,2325688.0,22.0,54.57,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,54.71,54.71,54.71,54.71,858059.0,21.0,54.71,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,54.67,54.67,54.65,54.65,2140829.0,25.0,54.67,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,57.1,57.12,57.07,57.12,8855863.0,60.0,57.07,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,56.88,56.88,56.88,56.88,2003576.0,33.0,56.88,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,56.9,56.9,56.9,56.9,1624683.0,22.0,56.9,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,56.9,56.9,56.87,56.87,2450787.0,28.0,56.9,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,57.42,57.42,57.41,57.41,3039661.0,24.0,57.42,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
