index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,57.58,57.58,57.58,57.58,650107.0,5.0,57.58,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,57.1,57.1,57.1,57.1,410340.0,15.0,57.1,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,56.42,56.42,56.42,56.42,894439.0,16.0,56.42,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,56.29,56.3,56.29,56.3,482058.0,18.0,56.3,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,56.79,56.79,56.79,56.79,1533823.0,21.0,56.79,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-10 16:00:00-05:00,55.27,55.27,55.27,55.27,557961.0,20.0,55.27,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,54.65,54.65,54.65,54.65,393699.0,19.0,54.65,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,53.65,53.65,53.65,53.65,2344681.0,21.0,53.65,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,53.68,53.68,53.68,53.68,820953.0,28.0,53.68,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-18 16:00:00-05:00,53.92,53.92,53.92,53.92,712152.0,29.0,53.92,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,53.88,53.88,53.88,53.88,896634.0,18.0,53.88,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,54.18,54.18,54.18,54.18,2506680.0,20.0,54.18,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-24 16:00:00-05:00,54.46,54.46,54.46,54.46,562351.0,14.0,54.46,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
2018-01-30 16:00:00-05:00,54.36,54.37,54.35,54.35,618955.0,29.0,54.35,2018-01-30 16:00:00-05:00,2018-01-30,16:00:00,960,16
2018-01-31 16:00:00-05:00,54.72,54.72,54.72,54.72,500.0,5.0,54.72,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-01 16:00:00-05:00,53.95,53.95,53.95,53.95,571634.0,26.0,53.95,2018-02-01 16:00:00-05:00,2018-02-01,16:00:00,960,16
2018-02-05 16:00:00-05:00,52.82,52.87,52.82,52.87,653536.0,21.0,52.87,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-06 16:00:00-05:00,51.62,51.62,51.62,51.62,3002740.0,34.0,51.62,2018-02-06 16:00:00-05:00,2018-02-06,16:00:00,960,16
2018-02-07 16:00:00-05:00,51.25,51.25,51.25,51.25,962137.0,29.0,51.25,2018-02-07 16:00:00-05:00,2018-02-07,16:00:00,960,16
2018-02-08 16:00:00-05:00,50.89,50.89,50.89,50.89,794501.0,15.0,50.89,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-09 16:00:00-05:00,51.97,51.97,51.97,51.97,580256.0,17.0,51.97,2018-02-09 16:00:00-05:00,2018-02-09,16:00:00,960,16
2018-02-12 16:00:00-05:00,52.03,52.03,52.0,52.0,681398.0,25.0,52.03,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-13 16:00:00-05:00,52.66,52.66,52.66,52.66,403880.0,22.0,52.66,2018-02-13 16:00:00-05:00,2018-02-13,16:00:00,960,16
2018-02-14 16:00:00-05:00,52.44,52.44,52.44,52.44,1210932.0,18.0,52.44,2018-02-14 16:00:00-05:00,2018-02-14,16:00:00,960,16
2018-02-15 16:00:00-05:00,53.54,53.54,53.54,53.54,700400.0,32.0,53.54,2018-02-15 16:00:00-05:00,2018-02-15,16:00:00,960,16
2018-02-16 16:00:00-05:00,54.01,54.01,54.01,54.01,870488.0,18.0,54.01,2018-02-16 16:00:00-05:00,2018-02-16,16:00:00,960,16
2018-02-20 16:00:00-05:00,53.29,53.29,53.29,53.29,527714.0,29.0,53.29,2018-02-20 16:00:00-05:00,2018-02-20,16:00:00,960,16
2018-02-21 16:00:00-05:00,52.64,52.66,52.64,52.66,355888.0,29.0,52.66,2018-02-21 16:00:00-05:00,2018-02-21,16:00:00,960,16
2018-02-22 16:00:00-05:00,52.74,52.74,52.74,52.74,517852.0,22.0,52.74,2018-02-22 16:00:00-05:00,2018-02-22,16:00:00,960,16
