index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,125.08,125.08,125.08,125.08,549228.0,25.0,125.08,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,127.94,127.94,127.94,127.94,288771.0,16.0,127.94,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,125.64,125.64,125.64,125.64,415419.0,17.0,125.64,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,126.34,126.34,126.34,126.34,558936.0,22.0,126.34,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,130.62,130.62,130.62,130.62,664173.0,25.0,130.62,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,132.53,132.53,132.53,132.53,770304.0,27.0,132.53,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,141.25,141.27,141.25,141.25,1067142.0,22.0,141.25,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,140.46,140.46,140.46,140.46,403209.0,26.0,140.46,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,139.68,139.68,139.64,139.68,662262.0,31.0,139.68,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,140.02,140.04,140.02,140.02,944823.0,43.0,140.02,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,143.7,143.7,143.7,143.7,601503.0,24.0,143.7,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,144.02,144.02,144.02,144.02,579141.0,22.0,144.02,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,144.41,144.41,144.41,144.41,1010541.0,18.0,144.41,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,144.65,144.67,144.65,144.65,611007.0,35.0,144.65,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-23 16:00:00-05:00,146.52,146.52,144.31,146.52,320307.0,21.0,146.51,2018-01-23 16:00:00-05:00,2018-01-23,16:00:00,960,16
2018-01-24 16:00:00-05:00,145.83,145.83,145.83,145.83,1211310.0,23.0,145.83,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
2018-01-25 16:00:00-05:00,150.33,150.67,149.94,149.94,355515.0,38.0,149.94,2018-01-25 16:00:00-05:00,2018-01-25,16:00:00,960,16
2018-01-26 16:00:00-05:00,146.75,146.75,146.75,146.75,702759.0,20.0,146.74,2018-01-26 16:00:00-05:00,2018-01-26,16:00:00,960,16
2018-01-29 16:00:00-05:00,145.45,145.45,145.45,145.45,369012.0,15.0,145.45,2018-01-29 16:00:00-05:00,2018-01-29,16:00:00,960,16
2018-01-30 16:00:00-05:00,142.61,142.61,142.61,142.61,382200.0,26.0,142.61,2018-01-30 16:00:00-05:00,2018-01-30,16:00:00,960,16
2018-01-31 16:00:00-05:00,143.89,143.89,143.89,143.89,482580.0,35.0,143.89,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-01 16:00:00-05:00,141.97,141.97,141.97,141.97,407682.0,30.0,141.97,2018-02-01 16:00:00-05:00,2018-02-01,16:00:00,960,16
2018-02-02 16:00:00-05:00,138.99,138.99,138.99,138.99,409236.0,23.0,138.99,2018-02-02 16:00:00-05:00,2018-02-02,16:00:00,960,16
2018-02-05 16:00:00-05:00,133.0,133.01,133.0,133.0,432510.0,28.0,133.01,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-06 16:00:00-05:00,136.11,136.11,136.11,136.11,446487.0,26.0,136.11,2018-02-06 16:00:00-05:00,2018-02-06,16:00:00,960,16
2018-02-07 16:00:00-05:00,132.11,133.18,132.11,133.18,401892.0,35.0,133.17,2018-02-07 16:00:00-05:00,2018-02-07,16:00:00,960,16
2018-02-08 16:00:00-05:00,127.29,127.34,127.29,127.29,730203.0,24.0,127.29,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-09 16:00:00-05:00,130.97,130.97,130.97,130.97,419307.0,22.0,130.97,2018-02-09 16:00:00-05:00,2018-02-09,16:00:00,960,16
2018-02-12 16:00:00-05:00,132.84,132.84,132.81,132.84,1130625.0,27.0,132.84,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-13 16:00:00-05:00,134.0,134.0,134.0,134.0,256470.0,18.0,134.0,2018-02-13 16:00:00-05:00,2018-02-13,16:00:00,960,16
2018-02-14 16:00:00-05:00,136.63,136.63,136.63,136.63,328194.0,16.0,136.63,2018-02-14 16:00:00-05:00,2018-02-14,16:00:00,960,16
2018-02-15 16:00:00-05:00,139.52,139.52,139.52,139.52,413649.0,40.0,139.52,2018-02-15 16:00:00-05:00,2018-02-15,16:00:00,960,16
2018-02-16 16:00:00-05:00,138.66,138.67,138.66,138.66,262887.0,19.0,138.66,2018-02-16 16:00:00-05:00,2018-02-16,16:00:00,960,16
2018-02-20 16:00:00-05:00,140.59,140.59,140.59,140.59,388839.0,33.0,140.59,2018-02-20 16:00:00-05:00,2018-02-20,16:00:00,960,16
2018-02-21 16:00:00-05:00,138.85,139.21,138.85,138.85,389436.0,24.0,138.86,2018-02-21 16:00:00-05:00,2018-02-21,16:00:00,960,16
2018-02-22 16:00:00-05:00,139.93,139.93,139.63,139.93,318312.0,26.0,139.93,2018-02-22 16:00:00-05:00,2018-02-22,16:00:00,960,16
2018-02-23 16:00:00-05:00,142.5,142.5,142.5,142.5,512028.0,24.0,142.5,2018-02-23 16:00:00-05:00,2018-02-23,16:00:00,960,16
2018-02-26 16:00:00-05:00,144.0,144.0,144.0,144.0,292875.0,20.0,144.0,2018-02-26 16:00:00-05:00,2018-02-26,16:00:00,960,16
