index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2020-09-22 16:00:00-04:00,9.88,9.88,9.88,9.88,200.0,2.0,9.88,2020-09-22 16:00:00-04:00,2020-09-22,16:00:00,960,16
2020-09-23 16:00:00-04:00,9.85,9.85,9.85,9.85,830.0,2.0,9.85,2020-09-23 16:00:00-04:00,2020-09-23,16:00:00,960,16
2020-09-24 16:00:00-04:00,9.77,9.77,9.77,9.77,200.0,2.0,9.77,2020-09-24 16:00:00-04:00,2020-09-24,16:00:00,960,16
2020-09-25 16:00:00-04:00,9.81,9.81,9.81,9.81,264.0,2.0,9.81,2020-09-25 16:00:00-04:00,2020-09-25,16:00:00,960,16
2020-09-30 16:00:00-04:00,9.78,9.78,9.78,9.78,1996.0,2.0,9.78,2020-09-30 16:00:00-04:00,2020-09-30,16:00:00,960,16
2020-10-02 16:00:00-04:00,9.74,9.74,9.74,9.74,400.0,2.0,9.74,2020-10-02 16:00:00-04:00,2020-10-02,16:00:00,960,16
2020-10-05 16:00:00-04:00,9.71,9.71,9.71,9.71,812.0,2.0,9.71,2020-10-05 16:00:00-04:00,2020-10-05,16:00:00,960,16
2020-10-06 16:00:00-04:00,9.68,9.68,9.68,9.68,1096.0,2.0,9.68,2020-10-06 16:00:00-04:00,2020-10-06,16:00:00,960,16
2020-10-07 16:00:00-04:00,9.71,9.71,9.71,9.71,2600.0,2.0,9.71,2020-10-07 16:00:00-04:00,2020-10-07,16:00:00,960,16
2020-10-09 16:00:00-04:00,9.75,9.75,9.75,9.75,600.0,2.0,9.75,2020-10-09 16:00:00-04:00,2020-10-09,16:00:00,960,16
2020-10-12 16:00:00-04:00,9.73,9.73,9.73,9.73,1400.0,2.0,9.73,2020-10-12 16:00:00-04:00,2020-10-12,16:00:00,960,16
2020-10-14 16:00:00-04:00,9.68,9.68,9.68,9.68,600.0,2.0,9.68,2020-10-14 16:00:00-04:00,2020-10-14,16:00:00,960,16
2020-10-26 16:00:00-04:00,9.65,9.65,9.65,9.65,600.0,2.0,9.65,2020-10-26 16:00:00-04:00,2020-10-26,16:00:00,960,16
