index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,17.32,17.32,17.32,17.32,4816032.0,17.0,17.32,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,17.53,17.53,17.53,17.53,8594730.0,20.0,17.53,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,17.45,17.45,17.45,17.45,3372780.0,24.0,17.45,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,17.74,17.74,17.73,17.74,5422761.0,31.0,17.74,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,18.05,18.05,18.05,18.05,4254744.0,28.0,18.05,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,18.21,18.21,18.21,18.21,1814745.0,28.0,18.21,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,17.97,17.97,17.97,17.97,4892496.0,22.0,17.97,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,18.04,18.04,18.04,18.04,1635264.0,24.0,18.04,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,18.21,18.21,18.21,18.21,2728998.0,26.0,18.21,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,17.87,17.87,17.87,17.87,7853499.0,23.0,17.87,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,17.73,17.73,17.73,17.73,3278571.0,28.0,17.73,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,17.84,17.84,17.84,17.84,2335266.0,20.0,17.84,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,17.67,17.67,17.67,17.67,2873826.0,33.0,17.67,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,17.74,17.74,17.74,17.74,3653436.0,30.0,17.74,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-23 16:00:00-05:00,17.55,17.55,17.55,17.55,8061312.0,23.0,17.55,2018-01-23 16:00:00-05:00,2018-01-23,16:00:00,960,16
2018-01-24 16:00:00-05:00,17.48,17.48,17.48,17.48,6900519.0,36.0,17.48,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
