index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,29.45,29.45,29.45,29.45,160200.0,2.0,29.44,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-22 16:00:00-05:00,29.89,29.89,29.89,29.89,146.0,1.0,29.89,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-31 16:00:00-05:00,29.18,29.19,29.18,29.19,1300.0,13.0,29.19,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-05 16:00:00-05:00,28.1,28.1,28.07,28.07,300.0,3.0,28.08,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-06 16:00:00-05:00,28.53,28.53,28.53,28.53,100.0,1.0,28.53,2018-02-06 16:00:00-05:00,2018-02-06,16:00:00,960,16
2018-02-08 16:00:00-05:00,28.39,28.39,28.37,28.37,700.0,7.0,28.38,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-12 16:00:00-05:00,28.34,28.36,28.34,28.36,300.0,3.0,28.35,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-28 16:00:00-05:00,28.38,28.38,28.38,28.38,400.0,4.0,28.38,2018-02-28 16:00:00-05:00,2018-02-28,16:00:00,960,16
2018-03-02 16:00:00-05:00,28.33,28.33,28.33,28.33,100.0,1.0,28.33,2018-03-02 16:00:00-05:00,2018-03-02,16:00:00,960,16
2018-03-22 16:00:00-04:00,29.49,29.49,29.49,29.49,200.0,2.0,29.49,2018-03-22 16:00:00-04:00,2018-03-22,16:00:00,960,16
2018-03-27 16:00:00-04:00,29.65,29.65,29.65,29.65,100.0,1.0,29.65,2018-03-27 16:00:00-04:00,2018-03-27,16:00:00,960,16
2018-04-09 16:00:00-04:00,30.69,30.69,30.69,30.69,100.0,1.0,30.69,2018-04-09 16:00:00-04:00,2018-04-09,16:00:00,960,16
2018-04-26 16:00:00-04:00,30.19,30.19,30.19,30.19,800.0,2.0,30.19,2018-04-26 16:00:00-04:00,2018-04-26,16:00:00,960,16
2018-05-14 16:00:00-04:00,31.13,31.13,31.13,31.13,400.0,1.0,31.13,2018-05-14 16:00:00-04:00,2018-05-14,16:00:00,960,16
2018-05-24 16:00:00-04:00,31.52,31.52,31.52,31.52,100.0,1.0,31.52,2018-05-24 16:00:00-04:00,2018-05-24,16:00:00,960,16
2018-06-05 16:00:00-04:00,31.16,31.16,31.16,31.16,100.0,1.0,31.16,2018-06-05 16:00:00-04:00,2018-06-05,16:00:00,960,16
2018-06-06 16:00:00-04:00,31.3,31.3,31.3,31.3,100.0,1.0,31.3,2018-06-06 16:00:00-04:00,2018-06-06,16:00:00,960,16
2018-06-08 16:00:00-04:00,31.15,31.15,31.15,31.15,100.0,1.0,31.15,2018-06-08 16:00:00-04:00,2018-06-08,16:00:00,960,16
2018-06-14 16:00:00-04:00,31.18,31.18,31.18,31.18,300.0,2.0,31.18,2018-06-14 16:00:00-04:00,2018-06-14,16:00:00,960,16
2018-06-22 16:00:00-04:00,29.97,29.97,29.97,29.97,200.0,2.0,29.97,2018-06-22 16:00:00-04:00,2018-06-22,16:00:00,960,16
2018-06-29 16:00:00-04:00,30.02,30.03,30.02,30.03,400.0,4.0,30.02,2018-06-29 16:00:00-04:00,2018-06-29,16:00:00,960,16
2018-07-10 16:00:00-04:00,30.44,30.44,30.44,30.44,100.0,1.0,30.44,2018-07-10 16:00:00-04:00,2018-07-10,16:00:00,960,16
2018-07-11 16:00:00-04:00,30.29,30.29,30.29,30.29,128237.0,7.0,30.29,2018-07-11 16:00:00-04:00,2018-07-11,16:00:00,960,16
2018-07-18 16:00:00-04:00,31.88,31.88,31.88,31.88,14176.0,1.0,31.88,2018-07-18 16:00:00-04:00,2018-07-18,16:00:00,960,16
2018-07-20 16:00:00-04:00,31.76,31.76,31.76,31.76,600.0,4.0,31.76,2018-07-20 16:00:00-04:00,2018-07-20,16:00:00,960,16
2018-07-27 16:00:00-04:00,32.67,32.67,32.67,32.67,100.0,1.0,32.67,2018-07-27 16:00:00-04:00,2018-07-27,16:00:00,960,16
2018-07-31 16:00:00-04:00,33.46,33.46,33.46,33.46,200.0,2.0,33.46,2018-07-31 16:00:00-04:00,2018-07-31,16:00:00,960,16
2018-08-09 16:00:00-04:00,34.24,34.24,34.24,34.24,207.0,2.0,34.24,2018-08-09 16:00:00-04:00,2018-08-09,16:00:00,960,16
2018-09-06 16:00:00-04:00,32.03,32.03,32.03,32.03,100.0,1.0,32.03,2018-09-06 16:00:00-04:00,2018-09-06,16:00:00,960,16
2018-10-02 16:00:00-04:00,34.35,34.35,34.35,34.35,1306.0,4.0,34.35,2018-10-02 16:00:00-04:00,2018-10-02,16:00:00,960,16
2018-10-04 16:00:00-04:00,34.14,34.14,34.1,34.1,25292.0,3.0,34.1,2018-10-04 16:00:00-04:00,2018-10-04,16:00:00,960,16
2018-10-08 16:00:00-04:00,33.14,33.14,33.14,33.14,300.0,2.0,33.14,2018-10-08 16:00:00-04:00,2018-10-08,16:00:00,960,16
2018-10-09 16:00:00-04:00,33.08,33.08,33.08,33.08,200.0,2.0,33.08,2018-10-09 16:00:00-04:00,2018-10-09,16:00:00,960,16
2018-10-10 16:00:00-04:00,32.9,32.9,32.9,32.9,300.0,3.0,32.9,2018-10-10 16:00:00-04:00,2018-10-10,16:00:00,960,16
2018-10-11 16:00:00-04:00,32.53,32.54,32.53,32.54,300.0,3.0,32.54,2018-10-11 16:00:00-04:00,2018-10-11,16:00:00,960,16
2018-10-24 16:00:00-04:00,32.75,32.75,32.75,32.75,2000.0,20.0,32.75,2018-10-24 16:00:00-04:00,2018-10-24,16:00:00,960,16
2018-10-29 16:00:00-04:00,32.83,32.83,32.83,32.83,100.0,1.0,32.83,2018-10-29 16:00:00-04:00,2018-10-29,16:00:00,960,16
2018-11-09 16:00:00-05:00,35.4,35.4,35.4,35.4,200.0,2.0,35.4,2018-11-09 16:00:00-05:00,2018-11-09,16:00:00,960,16
2018-11-12 16:00:00-05:00,35.37,35.37,35.37,35.37,100.0,1.0,35.37,2018-11-12 16:00:00-05:00,2018-11-12,16:00:00,960,16
2018-11-13 16:00:00-05:00,35.85,35.85,35.85,35.85,1400.0,14.0,35.85,2018-11-13 16:00:00-05:00,2018-11-13,16:00:00,960,16
2018-11-21 16:00:00-05:00,34.77,34.77,34.77,34.77,300.0,3.0,34.77,2018-11-21 16:00:00-05:00,2018-11-21,16:00:00,960,16
2018-11-27 16:00:00-05:00,34.3,34.3,34.3,34.3,21500.0,1.0,34.3,2018-11-27 16:00:00-05:00,2018-11-27,16:00:00,960,16
2018-11-30 16:00:00-05:00,34.46,34.46,34.46,34.46,22000.0,1.0,34.46,2018-11-30 16:00:00-05:00,2018-11-30,16:00:00,960,16
2018-12-11 16:00:00-05:00,33.41,33.41,33.41,33.41,536.0,2.0,33.41,2018-12-11 16:00:00-05:00,2018-12-11,16:00:00,960,16
2018-12-12 16:00:00-05:00,33.63,33.63,33.62,33.62,300.0,2.0,33.63,2018-12-12 16:00:00-05:00,2018-12-12,16:00:00,960,16
2018-12-13 16:00:00-05:00,33.9,33.9,33.9,33.9,1000.0,10.0,33.9,2018-12-13 16:00:00-05:00,2018-12-13,16:00:00,960,16
2018-12-14 16:00:00-05:00,33.84,33.84,33.84,33.84,98252.0,8.0,33.84,2018-12-14 16:00:00-05:00,2018-12-14,16:00:00,960,16
2018-12-20 16:00:00-05:00,32.87,32.88,32.87,32.88,169659.0,14.0,32.88,2018-12-20 16:00:00-05:00,2018-12-20,16:00:00,960,16
2018-12-21 16:00:00-05:00,32.42,32.42,32.42,32.42,157774.0,8.0,32.42,2018-12-21 16:00:00-05:00,2018-12-21,16:00:00,960,16
2018-12-26 16:00:00-05:00,32.51,32.51,32.51,32.51,99892.0,3.0,32.51,2018-12-26 16:00:00-05:00,2018-12-26,16:00:00,960,16
