index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,32.02,32.02,32.02,32.02,1689405.0,23.0,32.02,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,31.59,31.59,31.59,31.59,757604.0,16.0,31.59,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-09 16:00:00-05:00,30.87,30.87,30.87,30.87,100.0,1.0,30.87,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-16 16:00:00-05:00,31.11,31.11,31.11,31.11,3479137.0,27.0,31.11,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,31.61,31.61,31.61,31.61,1254708.0,20.0,31.61,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,31.21,31.21,30.99,31.21,1363667.0,25.0,31.21,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,30.71,30.71,30.69,30.69,2194849.0,27.0,30.71,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-23 16:00:00-05:00,31.16,31.16,31.16,31.16,868802.0,21.0,31.16,2018-01-23 16:00:00-05:00,2018-01-23,16:00:00,960,16
2018-01-24 16:00:00-05:00,30.9,30.9,30.9,30.9,995711.0,21.0,30.9,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
2018-01-25 16:00:00-05:00,31.28,31.28,31.28,31.28,987532.0,19.0,31.28,2018-01-25 16:00:00-05:00,2018-01-25,16:00:00,960,16
2018-01-29 16:00:00-05:00,31.0,31.0,31.0,31.0,1159438.0,21.0,31.0,2018-01-29 16:00:00-05:00,2018-01-29,16:00:00,960,16
2018-01-31 16:00:00-05:00,31.15,31.17,31.15,31.17,6897140.0,42.0,31.15,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-01 16:00:00-05:00,30.6,30.6,30.6,30.6,1149695.0,38.0,30.6,2018-02-01 16:00:00-05:00,2018-02-01,16:00:00,960,16
2018-02-02 16:00:00-05:00,30.51,30.51,30.51,30.51,1222579.0,32.0,30.51,2018-02-02 16:00:00-05:00,2018-02-02,16:00:00,960,16
2018-02-05 16:00:00-05:00,29.86,29.86,29.8,29.8,1530634.0,22.0,29.86,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-07 16:00:00-05:00,29.24,29.24,29.24,29.24,1448371.0,29.0,29.24,2018-02-07 16:00:00-05:00,2018-02-07,16:00:00,960,16
2018-02-08 16:00:00-05:00,29.1,29.1,29.1,29.1,1495683.0,22.0,29.1,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-09 16:00:00-05:00,29.81,29.81,29.81,29.81,100.0,1.0,29.81,2018-02-09 16:00:00-05:00,2018-02-09,16:00:00,960,16
2018-02-12 16:00:00-05:00,30.05,30.05,30.05,30.05,1000.0,10.0,30.05,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-14 16:00:00-05:00,29.88,29.88,29.88,29.88,1254149.0,21.0,29.88,2018-02-14 16:00:00-05:00,2018-02-14,16:00:00,960,16
2018-02-20 16:00:00-05:00,30.76,30.76,30.76,30.76,4089593.0,31.0,30.76,2018-02-20 16:00:00-05:00,2018-02-20,16:00:00,960,16
2018-02-21 16:00:00-05:00,30.26,30.26,30.26,30.26,9513365.0,16.0,30.26,2018-02-21 16:00:00-05:00,2018-02-21,16:00:00,960,16
2018-02-22 16:00:00-05:00,30.4,30.4,30.4,30.4,1154217.0,18.0,30.4,2018-02-22 16:00:00-05:00,2018-02-22,16:00:00,960,16
2018-02-28 16:00:00-05:00,30.26,30.26,30.26,30.26,100.0,1.0,30.26,2018-02-28 16:00:00-05:00,2018-02-28,16:00:00,960,16
2018-03-01 16:00:00-05:00,30.13,30.13,30.13,30.13,354.0,2.0,30.13,2018-03-01 16:00:00-05:00,2018-03-01,16:00:00,960,16
2018-03-02 16:00:00-05:00,30.13,30.14,30.13,30.14,1751571.0,17.0,30.14,2018-03-02 16:00:00-05:00,2018-03-02,16:00:00,960,16
2018-03-08 16:00:00-05:00,30.57,30.57,30.57,30.57,1154852.0,31.0,30.57,2018-03-08 16:00:00-05:00,2018-03-08,16:00:00,960,16
2018-03-12 16:00:00-04:00,30.64,30.64,30.64,30.64,2837880.0,22.0,30.64,2018-03-12 16:00:00-04:00,2018-03-12,16:00:00,960,16
