index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,37.1,37.11,37.1,37.1,1680252.0,14.0,37.1,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,37.22,37.24,37.22,37.24,1512687.0,19.0,37.24,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,37.33,37.33,37.33,37.33,1517231.0,18.0,37.33,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,37.81,37.81,37.81,37.81,4378650.0,24.0,37.81,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,37.62,37.62,37.62,37.62,7221791.0,20.0,37.62,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,37.6,37.6,37.6,37.6,4437541.0,30.0,37.6,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,37.29,37.29,37.29,37.29,2662400.0,22.0,37.29,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,37.18,37.18,37.18,37.18,780849.0,15.0,37.18,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,37.15,37.15,37.11,37.15,4686185.0,28.0,37.15,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,37.6,37.6,37.6,37.6,1339910.0,23.0,37.6,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,38.36,38.36,38.35,38.36,2390956.0,32.0,38.36,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,38.21,38.21,38.21,38.21,1568841.0,27.0,38.21,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,38.61,38.61,38.61,38.61,2949165.0,26.0,38.61,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
2018-01-22 16:00:00-05:00,38.73,38.73,38.73,38.73,1451211.0,18.0,38.73,2018-01-22 16:00:00-05:00,2018-01-22,16:00:00,960,16
2018-01-23 16:00:00-05:00,38.92,38.92,38.92,38.92,1347742.0,21.0,38.92,2018-01-23 16:00:00-05:00,2018-01-23,16:00:00,960,16
2018-01-24 16:00:00-05:00,39.0,39.0,39.0,39.0,1698319.0,34.0,39.0,2018-01-24 16:00:00-05:00,2018-01-24,16:00:00,960,16
2018-01-25 16:00:00-05:00,38.9,38.9,38.9,38.9,1013017.0,21.0,38.9,2018-01-25 16:00:00-05:00,2018-01-25,16:00:00,960,16
2018-01-26 16:00:00-05:00,38.85,38.85,38.85,38.85,1663457.0,27.0,38.85,2018-01-26 16:00:00-05:00,2018-01-26,16:00:00,960,16
2018-01-29 16:00:00-05:00,38.96,38.96,38.94,38.94,2431567.0,21.0,38.95,2018-01-29 16:00:00-05:00,2018-01-29,16:00:00,960,16
2018-01-30 16:00:00-05:00,38.78,38.78,38.78,38.78,894989.0,30.0,38.78,2018-01-30 16:00:00-05:00,2018-01-30,16:00:00,960,16
2018-01-31 16:00:00-05:00,38.84,38.84,38.84,38.84,4067265.0,39.0,38.84,2018-01-31 16:00:00-05:00,2018-01-31,16:00:00,960,16
2018-02-01 16:00:00-05:00,40.12,40.12,40.12,40.12,2617257.0,30.0,40.12,2018-02-01 16:00:00-05:00,2018-02-01,16:00:00,960,16
2018-02-02 16:00:00-05:00,39.8,39.8,39.8,39.8,1834546.0,30.0,39.8,2018-02-02 16:00:00-05:00,2018-02-02,16:00:00,960,16
2018-02-05 16:00:00-05:00,38.43,38.47,38.4,38.4,2016684.0,41.0,38.43,2018-02-05 16:00:00-05:00,2018-02-05,16:00:00,960,16
2018-02-06 16:00:00-05:00,38.97,38.97,38.97,38.97,2259341.0,36.0,38.97,2018-02-06 16:00:00-05:00,2018-02-06,16:00:00,960,16
2018-02-07 16:00:00-05:00,38.53,38.53,38.53,38.53,1393787.0,42.0,38.53,2018-02-07 16:00:00-05:00,2018-02-07,16:00:00,960,16
2018-02-08 16:00:00-05:00,37.33,37.41,37.33,37.35,1490018.0,42.0,37.33,2018-02-08 16:00:00-05:00,2018-02-08,16:00:00,960,16
2018-02-09 16:00:00-05:00,36.86,36.86,36.74,36.86,2119713.0,26.0,36.86,2018-02-09 16:00:00-05:00,2018-02-09,16:00:00,960,16
2018-02-12 16:00:00-05:00,37.2,37.2,37.17,37.17,7535268.0,36.0,37.2,2018-02-12 16:00:00-05:00,2018-02-12,16:00:00,960,16
2018-02-13 16:00:00-05:00,37.44,37.44,37.44,37.44,1936782.0,24.0,37.44,2018-02-13 16:00:00-05:00,2018-02-13,16:00:00,960,16
2018-02-14 16:00:00-05:00,37.59,37.6,37.58,37.58,1574333.0,38.0,37.58,2018-02-14 16:00:00-05:00,2018-02-14,16:00:00,960,16
2018-02-15 16:00:00-05:00,38.56,38.56,38.56,38.56,1052396.0,29.0,38.56,2018-02-15 16:00:00-05:00,2018-02-15,16:00:00,960,16
2018-02-16 16:00:00-05:00,38.61,38.61,38.59,38.59,839732.0,24.0,38.61,2018-02-16 16:00:00-05:00,2018-02-16,16:00:00,960,16
2018-02-20 16:00:00-05:00,38.28,38.29,38.26,38.26,1701016.0,36.0,38.28,2018-02-20 16:00:00-05:00,2018-02-20,16:00:00,960,16
2018-02-21 16:00:00-05:00,38.15,38.15,38.13,38.13,3683609.0,24.0,38.15,2018-02-21 16:00:00-05:00,2018-02-21,16:00:00,960,16
