index,open,high,low,close,volume,trade_count,vwap,datetime,date,time,minute_of_day,hour
2018-01-02 16:00:00-05:00,56.05,56.05,56.05,56.05,775238.0,17.0,56.05,2018-01-02 16:00:00-05:00,2018-01-02,16:00:00,960,16
2018-01-03 16:00:00-05:00,56.86,56.86,56.86,56.86,376608.0,13.0,56.86,2018-01-03 16:00:00-05:00,2018-01-03,16:00:00,960,16
2018-01-04 16:00:00-05:00,57.39,57.39,57.39,57.39,689656.0,20.0,57.39,2018-01-04 16:00:00-05:00,2018-01-04,16:00:00,960,16
2018-01-05 16:00:00-05:00,57.21,57.21,57.21,57.21,585327.0,27.0,57.21,2018-01-05 16:00:00-05:00,2018-01-05,16:00:00,960,16
2018-01-08 16:00:00-05:00,56.86,56.86,56.86,56.86,765345.0,24.0,56.86,2018-01-08 16:00:00-05:00,2018-01-08,16:00:00,960,16
2018-01-09 16:00:00-05:00,56.47,56.47,56.47,56.47,586063.0,28.0,56.47,2018-01-09 16:00:00-05:00,2018-01-09,16:00:00,960,16
2018-01-10 16:00:00-05:00,56.24,56.24,56.24,56.24,424545.0,18.0,56.24,2018-01-10 16:00:00-05:00,2018-01-10,16:00:00,960,16
2018-01-11 16:00:00-05:00,55.67,55.67,55.67,55.67,472737.0,17.0,55.67,2018-01-11 16:00:00-05:00,2018-01-11,16:00:00,960,16
2018-01-12 16:00:00-05:00,56.34,56.34,56.34,56.34,550250.0,20.0,56.34,2018-01-12 16:00:00-05:00,2018-01-12,16:00:00,960,16
2018-01-16 16:00:00-05:00,56.84,56.84,56.84,56.84,1951704.0,33.0,56.84,2018-01-16 16:00:00-05:00,2018-01-16,16:00:00,960,16
2018-01-17 16:00:00-05:00,57.99,57.99,57.99,57.99,636691.0,26.0,57.99,2018-01-17 16:00:00-05:00,2018-01-17,16:00:00,960,16
2018-01-18 16:00:00-05:00,57.38,57.38,57.38,57.38,266725.0,29.0,57.38,2018-01-18 16:00:00-05:00,2018-01-18,16:00:00,960,16
2018-01-19 16:00:00-05:00,57.86,57.86,57.86,57.86,1081520.0,24.0,57.86,2018-01-19 16:00:00-05:00,2018-01-19,16:00:00,960,16
